0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
zugs,thsgs,ziges,zigs_,hzigs,htsex,tsex,zigs,zichs,zix_,_zix_,zuges,ttsgs,züegs,zags,tsg’s,zuegs,tzigs,tskas,tsexe,tsgäs,tsgs,_zugs,zeg’s,zugs_,tsg's,_zix,tsexa,,,,,,,,,,,,
fkapp,fgebö,fgepu,ffgib,fgepa,fgibb,fgabe,fkäbb,fkabb,fgebu,fkab,fg'op,vicep,ffgeb,fgeba,fkäb,fgebo,ffgab,fgab_,fgep,fkap,fgib,feköp,fgheb,fghüp,vageb,fgeb,fekàp,fgop,fekop,fghob,fgebe,fgab,ffgep,,,,,,
totk,_totk,tdeck,tädtc,tdac,tduec,totg’,tedic,datek,detek,detac,_totg,tadtg,tätig,dootk,tättk,dotek,tentk,doodg,d-duc,tetek,tdec,totg,tätek,tettk,,,,,,,,,,,,,,,
_jörg,jörg_,johrg,_jarg,jeric,jeroc,jerg',jarg,jerki,jrigg,jerk,jargo,jerg,jrig,jörg,,,,,,,,,,,,,,,,,,,,,,,,,
htsbl,tsbel,tspl,tsbla,tsblo,tspli,tspla,tsbl,tsblä,tsplä,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bâtim,ptma,pidem,ptome,ptom,bdam,ptem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ldsf,ltsv,llzuv,ltsuf,lzuv,lzuvi,luzif,ldsfa,ltsve,lüzif,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
indve,indvi,antof,undef,ondfi,onadf,undf,indfa,anduf,indfe,entfa,ondf,indva,entaf,iundv,indef,entf,entaw,undvi,undfi,endf,andif,untiw,undev,undfä,andf,_entf,indfo,indv,undfe,indf,intef,undv,,,,,,,
etkle,etkl,atagl,itgel,adagl,itgli,itgl,ettgl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sselk,sslic,slac,sloc,sälig,selig,slig_,solc,z'leg,selki,selk,slige,_solc,selic,slöc,ßlec,slic,sslac,salig,slika,slege,slik,sslig,ßlic,sluag,slig,sleg,sliga,seloc,,,,,,,,,,,
chsis,ckesz,gsas,xüs_,cksz,chsez,_gsez,cks’s,gsess,xis_,g’sas,gsass,kesz,_gsas,_gses,gsäs,g'ses,gses,cusez,_gsäs,g’ses,gsez,gsäss,g'säs,ks’s,,,,,,,,,,,,,,,
rsre,rsüür,rsair,rsach,roßer,rößer,rsüre,rosar,rsuch,rsür,riser,roser,resar,roßar,rsüer,rsor,resur,rsüch,reeßr,résor,rsor_,ryser,reser,reisr,rsri,,,,,,,,,,,,,,,
mgeg,mgauk,mgkej,mgege,mgeko,mgke,mgek,mg'ke,mmigk,migke,mg'k,migk,mgeke,,,,,,,,,,,,,,,,,,,,,,,,,,,
mkehr,migrä,maker,mekrä,makr,mkrei,mgere,mmekr,mekör,meger,_macr,mokr,migra,mgri,mokra,mekkr,macro,_migr,mkiri,makrö,mkir,_makr,mger,mkre,mekra,macr,macrö,mmkir,mekr,migr,mager,,,,,,,,,
bläib,_blib,blib_,blabb,blebb,bliab,blib,_plap,ballp,blyb,beleb,_bleb,blab,_blyb,pläbb,pleb,plap,plapp,bleib,_blab,blebe,_pleb,_pläb,pläb,bleb,blybä,blieb,,,,,,,,,,,,,
ltsm,lotzm,lzem_,lizam,ltz-m,ltsam,lezam,ltsme,lzem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
