mesure,BasRhinClés,BasRhinPreferredNgram,BasRhinAvoidedNgram
Craig,AMR,amer; eimer; anmache; ım'r; um-ere; ümer,immer; amerei; emir; ameri; amache; amour; amarei
Craig,XNXT,schunscht; schönscht; scheenschte; schönschte; schoenscht; schöenschte; scheenscht; scheenste; schenste,schönste; schöenscht; schenschta; schöenschter; schöenste; schönschta; schenschte
Craig,SL,soll; solle; söll; sölle; seel; seli; sollen; saal; seele; salue; sel; söelle; seelen; seeli; seul; saale; saali; säl; salen; säli; saluer; seule; söell; sole; selle; seller,sal; sohler; sàlle; selig; sàll; sell; sàller; solo; sälle; solla; salü; saller; säll; sali; salli; soulier; sall; seil; salig; salla; sälli; seila; seiler; selli; sol1; soli; solli; sul; sül; sol; salle
Craig,MNT,maant; mänt; minüt; monat; maint; monde; minder; minüd; minütte; ment; mondaa; mond; minüde; mente; minütt; mahnet; mander; maneidi; meneidi; minuten; monaten; montée; munde; munder,monet; meint; minüte; mäint; miant; monete; mahnt; mandi; meinet; munden; minute; mund
Craig,VKST,veux-tu; wuext,wichst; wachst
Craig,RTT,radote; reddidi; redete; rität,redet; red't; red’t
Craig,VRXRV,verschriwwe; v'rschriewe; verschrywe; verschriewe,verschriwe; vorschriewe
Craig,KRV,crevé; corwée; growi; kurrwaau; kurweh; crever; curve; grabe; growe; grower; growwer; growwi; kurive; kurwaau’; grawe,cerveau; garwa; grobe; groben; grobi; grüewe; corvée
Craig,ANRX,annüyirsch; einreichen; inreich,ennuiersch; unrüeich
Craig,PNNT,bienöönd; bynand; bienand; bienöönder; binand,binander; bienander
Craig,AVRVNT,üewerwind; iwwerwind,üewerwinde; iwerwunde
Craig,ARLF,erlauwe; erläwe; erlöuwe; erlewe; erlauwich; erläuwe,erlaüwe; erläuiwa
Craig,KRS,groß; großer; großi; große; kryz; grossi; kurz; chers; gras; kriz; gros; größer; kürios; großen; kerz; gross; chores; crois; gerisse; kreis; kreuz; grosser; grüssen; carosse; chris; corres; cors; course; croyez; geriss; grause; grausi; gräz; groos; größe; grueß; gruss; krees; kreise; kresse; kriejs; kuriose; kuriosi; kurrios; kurs,grosse; g'risse; griess; grüess; kurios; grüse; grausser; gresser; grües; grüesse; grösse; gries; grossen; grösser; gruess
Craig,FRXNK,forschunge; forschung,forschunga; verschenke
Craig,KPRRT,gebroocht; gebracht; gebrocht; gebrücht,gabrocht; gebruecht
Craig,RTR,räder; riedere; rieder; retire; retter,ritter; roter; retro; rentiere; retour; reiter; retür; riterei; rüeht’r; rueder
Craig,ALNS,allens; elläns,allons; alons
Craig,RNT,rennt; renette; rannt; ranntier; renntier; rind; rônd; runte,rente; runde; rante; reinette; rinder; round; runda; runder; rand; rund
Craig,KVR,gebore; gebor; gewähre; gewähren; gewehr; quer,gebache; gebora; gwahr
Craig,NFL,nouvelle; nuwell; nuwelle; näwel; niinfalle,nowel; newel; novel
Craig,VRRT,verehrti; verehrte; verirrt; verehrter; verehrt; verehrten; verachten; verrüehrt; veracht,verachte; wuchert
Craig,HKST,höchsti; höechst; höechsti; höhchste,höchst; höchste
Craig,TFL,deifel; däifel; daifel; dejfel; täfele; deifeli; deiffel; doofle; tafel; tejfel; teyfel; tivoli,teifel; tafele; tàfele; täifel; teufel; teuifel; tafle; teijfel; dafel
