mesure,BasRhinClés,BasRhinPreferredNgram,BasRhinAvoidedNgram
Craig,VKT,w e g t; v i c t; v ö g t; w a k t; w e k t; w i g t,v o g t; w o g t
Craig,ASF,ü s s f; a s e f; a u s f; o s e f; o ß f ü; u s f ü; e z v o; ü s f ü; e s v e; i s f a; a s p h; i ß v e; u s f a; ü ß e w; i s f e; _ i s v; _ u s f; a s e w; a ß v ö; e i s f; é s - v; e s f a; e s f e; e s f ü; e s o f; e s o v; e s o w; e s s f; e s v a; e s v ö; i e s v; i s - v; i s ' f; i s p h; i s u f; i s v h; i ß v ’; i z f i; i z f y; o s a f; o s p h; o s s f; o s v a; ü s f u; u ß f e; u u s f,_ ü s f; ü s f i; a z ' f; e z - v; ü s e f; i s s v; i z f a; o s s v; i s v o; _ o s f; a s a f; e s - v; e s f i; i z ' f; o s e w; ü s e w; u s s v; e s a f; ü s f a; o s f i; u e s f
Craig,KSV,g s w a; g s v e; _ x v .; c k s v; g a s w; g s w e; k s v o; k s w a; k s w u; x e b u; x v . _; x v e r; x w e i; g s v o; x a v i; k s w i,x e w ä; _ x a v; x e b ä; x a v e; c k s w
Craig,FRTS,f r a z; f r i z,f e r z; v r z e
Craig,RT,"r e d d; r o o t; r a i d; r d e n; r o t _; r i d d; r t i _; r d i _; _ r a d; r t e n; r a t _; r o o d; r e t t; r d i g; r t i e; h r t e; r ü t t; h r t _; r u n t; r e u d; _ r a t; r a d e; _ r ä t; r a a t; h r t i; r t e r; r o t t; r o d _; r d a a; r t o u; r a d i; r o t e; r u e d; r o h t; r a d d; r ä j t; r o d e; r d ü _; r a t ü; r ü d e; r u d e; r d e i; ‘ r d a; r y d _; r t i o; r o t o; r e e d; r y d d; r e u t; r r a t; r t e i; r t e j; r d e a; r ü t e; r i t a; ' r d e; _ r o d; ' r d a; h r o t; r é t e; r o i d; r d t _; r r t u; r i t _; _ r ä d; r h u t; ' r d i; ' r d o; r ä u t; r d e e; r e d ä; r é d é; r i t ä; r t a u; r t e h; r t t ö; r u i t; r u t e; r u t t; r ä d e; r e t i; r ä i t; r a u t; r a j t; r ö j t; r i d a; r r d i; h r d i; r é d i; r ê t e; _ r ü d; _ r ü t; _ r y d; ’ r o t; r ä ä t; r ä d d; r a d o; r a î t; r d ' h; r d ’ h; r d a u; r d i o; r d u e; r è t e; r h u d; r o d d; r ö d e; r o d t; r o d u; r r ä d; r r i t; r r o d; r t a i; r t e u; r t t e; r t u e; r ü d i; r u t _; r y d e; r y t t; r o d i; r i e t; r t e e; _ r i d; r e h t; r u h t; r r ê t; _ r d u; - o r d; , r a d; ' o r d; ' r a d; ’ r d i; $ r a d; h r - d; h r d e; h r t '; h r y d; r - d a; r - d i; r - d o; r - d ü; r - t u; r a d '; r a d u; r a h t; r ä h t; r a ö t; r ä t _; r a t -; r d ’ _; r d d e; r d d i; r d e j; r d o _; r e - t; r e a d; r é a t; r e d ü; r é t a; r h ü t; r i - t; r i a t; r i o d; r o d ü; r o ï d; r ö i t; r ö j d; r o t è; r ö t e; r ö u t; r œ j t; r r d u; r t ’ _; r t i a; r t o o; r u d _; r ü d _; r u d a; r u d i; r u t a; r ü t a; r u t i; r y d i; r y t _; r i t e; h r e d; r ä t e; r o t i; r d a i; r i d _; r a t o; r e d u; r o u t; r a n t; r a t u","r e d e; r e i d; r d e _; r a d _; r e d _; r ü e d; r i t t; _ r o t; r e i t; r i e d; ' r e d; r e d '; r t e _; r e d a; ' r o t; _ r i t; h r i t; r r o t; r d e r; r u d o; r à i t; _ r u d; _ r e t; r e t ä; ' r e t; r a ü t; r d i e; r d a _; r t a _; h r e t; r r e d; r d e -; r o t a; r ü t _; r e n t; r a t e; r i t i; _ r e d; r e t _; r e a t; r i é t; r i t é; r a i t; r a t a; r e t o; r o i t; r a t i; r e d ’; r a t t; r ä i d; r d i a; r e d i; r r t _; r o n t; r t t a; r i n t; r e t e; r e t a; r ü e t; r i d e; r t e -; r t i g; r d a j; r d a g; r d ä i; r t ' _; r i o t; r t é _; r e d o; r i t ü; r e d t; ’ r e d; r t a h; r t ä i; _ r à t; ' r i t; ' r u t; h r t -; r , d o; r a - t; r à à t; r d ä u; r d a y; r d ä y; r e t ü; r e ü t; r ö d _; r o t -; r r a d; r r t e; r t - e; r t o i; r t ü _; r t ü e; r ü d ü; r ü è d; r ü ü d; r r ä t; _ r u t; r ä t t; r t a g; r e j t; r u e t; r r e t; r i t u; r d e u; r ä t ä; r d ' _; r d ä j; r h e t; r i j t; r a d a"
Craig,LTSL,l z e l; l t s l; l z u l,l z l e
Craig,MN,m i n _; m i n i; _ m i n; _ m o n; _ m y n; _ m ä n; m e n _; m o n _; m y n _; m a a n; m ä n n; m m e n; m a n _; m y n e; m a n n; m y n i; _ m a n; m i n n; m a i n; h m e n; m ä n e; m o n a; m a n e; m n o o; m a n i; h m a n; _ m ü n; m m a n; m o i n; m ä n _; m h ä n; m ä ä n; m e n h; m e y n; m o n n; _ m æ n; m ' a n; m æ n n; m ’ n e; m ä n u; m a n y; m e n -; m e n ü; m m ’ n; m m n a; m é n a; m i n u; m i i n; m y n n; _ m í n; h m ä n; h m æ n; m - a n; m ’ e n; m ä h n; m a n u; m æ n _; m e h n; m e n ä; m e n ç; m è n e; m e n i; m e n n; m i n ‘; m i n h; m í n i; m m n e; m m n i; m n e n; m n u e; m o n ü; m u n a; m u n n; m ü e n; _ m é n,_ m à n; m i e n; m o n e; m ä i n; _ m e n; m à n n; m i n a; m u e n; m i a n; m i n o; m i n -; m m u n; _ m u n; m e i n; m a n ö; m i n ’; m i n '; m e n a; m i n ü; m i n é; m e n u; m n i e; m a h n; m u n i; m o n i; h m ü n; m o h n; - m à n; m a n h; m i - n; m i ' n; m u n _; m e - n; m i n e; m e n e; h m i n; _ m ö n; m ' e n; m a n ü; m h a n
Craig,RTR,r t r e; r t e r; r d r ä; r t r ä; r d o r; ' r t r; r d ' r; r d r u; r t r ö; r t r i; r t ’ r; r t i r; r t u r; r a t r; r d r ö; ’ r d r; r d ‘ r; r d r ü; r t ' r; r t r y; r d ’ r; r d r e,r t r a; r d e r; r t r o; r d u r; r e t r; r d a r; r t o r; r t r à; r d r a; r d à r; r t ü r; r d r i; r ä t r; r d r o; r o d r; r t - r; r t r u; r d i r; r t t r; r e d r; r d ä r
Craig,PM,b i e m; _ b y m; b y m _; b a a m; _ b o m; _ b u m; b e m ü; b i m m; b a m _; _ b a m; b e e m; b e m _; p e j m; p u m a; _ p m e; b a ö m; b y m '; p e n m; p i m a; p m e r; p o m a; p o m u; p o m ü; p p m e; b e i m; _ p u m; _ p o m,b i m _; _ b i m; b e m o; b a u m; _ p i m; b ä u m; b u m m; - b u m; p e m a; b a ü m; _ b e m; b u m -; b ä i m; b a m m; b u m _; p o m m; _ p à m; _ b - m; _ b é m; b - m o; b é m o; p à m _; p u m m; - b e m; b ä m m; b e m -; b i - m; b i m -; p e m ä; p e m e; p p m a; b e a m; b a i m; p o è m; b - e m; b - m _; b e m e
Craig,MTH,m a t h; m t h e; m ü t h; m u t h,m e t h; m m t h; m t h o; m i t h
Craig,TM,_ d e m; d e m _; d e m o; d u m _; t u m m; d e m a; d e m i; t m a i; d a m i; d e m m; t a m m; h t m a; t e m e; d a m m; h t a m; _ t u m; d m ä i; d é m i; _ d y m; h d e m; d ’ m è; t t m a; d y m _; _ t i m; t ü m _; h t e m; d ä m _; d i u m; t t e m; t a m e; d ' m è; t e m a; t h e m; _ d é m; t h o m; d h ä m; d é m a; t t m e; d u m o; d i a m; t o m e; d i m m; d o m m; t o m i; _ t e m; d ’ m e; t e m m; _ t é m; d m e _; d m e n; t e m i; t é m o; _ d i m; d a m _; _ d ä m; t i m i; d a m o; t e n m; t m ü e; t y m o; ' d e m; ' t m _; d - a m; d - m è; d ' m e; d ’ m ö; d e m u; d e m ü; d e n m; d h a m; d h u m; d i m a; d i m o; d i m u; d i n m; d m a i; d m i e; d m o i; d m ü e; d t m a; d y m e; h d u m; h t é m; h t i m; t - m -; t ‘ e m; t e h m; t é m a; t h ä m; t h è m; t h y m; t i o m; t m a g; t m a h; t m u e; t o m a; t u m _; d i m _; t i m e; d ü m m; t m e n; t ü m e; t ’ e m,_ d a m; t i m m; d é m e; t m ä i; _ d o m; d o m i; h t m ä; d u m m; h t m e; _ d u m; d i e m; t h u m; t e m _; t - e m; d a m e; t t o m; h t m o; h t u m; t e m o; t t - m; t h ü m; t m e i; _ t a m; d - e m; d à m _; d o m a; h t m à; t a m o; t h m e; t - m _; d a m a; - d a m; d ä m m; t e - m; t o m _; _ d à m; _ d m _; d - m i; d a a m; d ä m e; d o m o; d t m ü; d ü m e; h d a m; t - m ’; t - m o; t a m _; t à m i; t ä m m; t h a m; t m e _; t ü h m; t u m e; h t m i; d e m e; t o m o; _ d ü m; _ t o m; d e m ä; t i m _; d o m e
Craig,AYL,e j e l; a w e l; e g a l; ö j e l; u j e l; e g e l; a w a l; i j e l; a j o l; e g o l; ü g e l; œ j e l; i g o l; i g e l; e g ä l; i g u l; o g o l; ô j e l; ä j e l; u g e l,o g e l; à w e l; ä g e l; ö g e l; i g a l; à g e l; a g a l; o j a l; a g e l; é g a l
Craig,RFN,r v u n; r v o n; r f e n; r f u n; r f ' n; r f ä n,r f i n; r f n i; r v e n
Craig,TTK,t d e c; t d a c; t o t g,t o t k
Craig,KLR,k l ä r; k l e r; g l e r; k l o r; g l u r; k e l r,k l a r; g ä l r; g e l r; c l a r; k l à r; g l o r
