0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
immt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pier,büech,pare,bber,brüe,brie,hber,,,,,,,,,,,,,,,,,,,,,,,,,,,,
worum,verm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nzig,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
edig,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soga,sage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chri,schar,schre,schri,char,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
g'sun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rlig,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
irli,arlo,erlo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ebber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
g'fal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
till,deli,ttle,tell,tlig,theil,dlig,telle,tele,,,,,,,,,,,,,,,,,,,,,,,,,,
rzähl,rzehl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tante,tant,htet,tatt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chwör,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charf,chriw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rind,rend,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hler,lache,lore,loren,lehr,lehre,lach,,,,,,,,,,,,,,,,,,,,,,,,,,,,
monet,meint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
franç,vorne,fran,vorn,frin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rmög,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ihrer,acha,ehrer,iere,eier,ihre,ehre,üech,üeche,oren,aire,ahre,üche,ache,orig,uche,erro,acher,iehr,ohre,iehre,,,,,,,,,,,,,,
elis,elsa,alles,also,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mpel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lhüse,hloss,lise,lese,lhüs,loss,liess,lies,lles,hlos,lisa,lose,,,,,,,,,,,,,,,,,,,,,,,
hler,llei,llig,'hal,hlag,llich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lsas,lsass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ebbes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
funde,finde,find,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
haff,haffe,hewe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eher,ahah,eihe,ehig,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bien,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
igsc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chint,schti,stei,ster,chta,schta,chtu,chtig,stüe,cheid,,,,,,,,,,,,,,,,,,,,,,,,,
ister,ester,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iech,üchs,iesch,eisch,asch,äich,üesch,isch,,,,,,,,,,,,,,,,,,,,,,,,,,,
meis,müsi,mies,messe,müess,miess,mües,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kämme,kämm,chim,kame,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chle,schlä,schla,chlag,chul,schul,chlä,schle,schlo,,,,,,,,,,,,,,,,,,,,,,,,,,
einer,enier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
johr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eimol,amili,emol,imol,immel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iwel,ewil,ewill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
güet,kant,chta,gent,gedu,chtu,güete,geht,cheid,,,,,,,,,,,,,,,,,,,,,,,,,,
süech,ssier,siere,sache,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hirot,höert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ktri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chwi,chwö,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wiwe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
elbo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
harr,höer,herr,hiro,hüre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iens,uenz,eins,enns,einz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
klavi,klav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neger,nige,nege,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mpier,mpie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chtun,stan,stein,stun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iert,arde,achtu,achte,erdie,errot,arte,erde,ocht,üecht,acht,irot,öert,ücht,ertig,irote,erti,ahrt,erda,ochte,,,,,,,,,,,,,,,
zoge,zige,tzig,zeig,zeige,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
schtk,stec,chtk,stoc,stock,steck,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
othe,üeth,ethe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
edis,itzi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
macht,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ielmo,allem,elmo,ielm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
delt,duld,tellt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eimni,omin,eimn,imni,umen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
glic,chlec,klig,chlac,chlag,glick,cklig,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nder,nter,ntier,nitt,ntoi,natt,nati,ntie,,,,,,,,,,,,,,,,,,,,,,,,,,,
rken,rika,roge,ruck,rick,rage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
capit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zeih,tzig,zeig,zieh,tzer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
harz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
entl,endl,andl,andel,indel,entli,endli,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmer,mien,mmig,mich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ndle,ndlig,ntli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
drno,drin,trin,derno,dern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
term,drum,derm,trum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zehne,zehn,zahn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ünsch,unsch,insch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
losst,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rbar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ister,iste,echte,ichte,este,icht,eiste,aste,ester,eist,esto,asti,,,,,,,,,,,,,,,,,,,,,,,
kuen,gier,g'hi,cien,chöe,gien,chich,g'ha,g'hö,g'he,g'hei,,,,,,,,,,,,,,,,,,,,,,,,
kech,kasch,g'sch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
affe,eifa,avie,iefe,enfi,eife,affee,,,,,,,,,,,,,,,,,,,,,,,,,,,,
irsch,arsch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rschi,risch,riche,hrsch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
julie,juli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ihrer,acher,ehrer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
isite,eisst,iesst,isit,isst,osst,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
verle,verla,verlo,verl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tirl,terl,terle,tirli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aw-i,avier,avie,iwer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
llich,lech,hlech,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ünsc,unsc,insc,einsc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lons,llons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wohn,wihna,wenig,weni,wihn,wann,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'sc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wiss,wäis,weis,visi,wisse,hwes,weiss,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hnal,hnall,nele,nall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
esser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
west,weste,hwest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
morge,merk,morg,merik,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mbedi,mbed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fast,fecht,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
beid,pitai,bedi,pita,beide,bett,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
famo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ries,hris,riss,rosse,ross,risse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gege,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
verzä,verze,hwarz,verz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stru,stor,ster,stre,strei,star,stir,,,,,,,,,,,,,,,,,,,,,,,,,,,,
roch,rüche,rüch,hrer,rach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sahn,sinn,siner,sunn,sson,'sinn,sine,'sun,,,,,,,,,,,,,,,,,,,,,,,,,,,
schmu,schim,chim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
garn,gern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
enel,inele,inli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wild,walt,walte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ikant,eckt,ackt,ickt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brief,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eiss,eisse,essie,esser,esen,ass-,iess,asse,üess,iesse,assie,äiss,ässe,ossi,asso,,,,,,,,,,,,,,,,,,,,
