"data","Freq"
"_ f r ö u",90
"_ g r e d",90
"_ o w e _",90
"_ ü w e r",90
"ä t t e _",90
"d i e n s",90
"d i e s e",90
"e r s p r",90
"g r e d e",90
"h o f f e",90
"i n n e r",90
"m o m e n",90
"o m e n t",90
"s t e h _",90
"v i e l l",90
"w i t t e",90
"_ a c h _",89
"_ g ’ h e",89
"_ g ä n _",89
"_ g e l e",89
"_ h y t _",89
"_ h y t t",89
"_ m ä n n",89
"_ m i t n",89
"_ m o m e",89
"_ w o h n",89
"’ s a a t",89
"a m i l l",89
"ä u j e _",89
"d e n e _",89
"e i j t _",89
"e r l i e",89
"e r u n g",89
"g ’ s a a",89
"h i t t _",89
"m i s s i",89
"n g e n _",89
"o o c h t",89
"r o t e _",89
"s c h a d",89
"s c h t i",89
"s e r e _",89
"t e r s c",89
"w o t t _",89
"_ a r i g",88
"_ a u e _",88
"_ c h a r",88
"_ k ö e n",88
"_ m ü e ß",88
"_ s e t z",88
"_ v a t e",88
"a l t e r",88
"a r d o n",88
"d r u m _",88
"f a m i l",88
"g f a l l",88
"h a r r _",88
"h e l f e",88
"h o c h _",88
"i n f a c",88
"i n g t _",88
"l i c e _",88
"m e i n t",88
"r l o r e",88
"s c h n i",88
"s i o n _",88
"u e t e _",88
"_ c ' e s",87
"_ d h u e",87
"_ d r ü s",87
"_ e r i n",87
"_ l u c i",87
"_ n e e _",87
"' e s t _",87
"b l i c k",87
"c ' e s t",87
"c h r i s",87
"e h e n _",87
"e i n f a",87
"e l f e _",87
"h n u n g",87
"i e l e _",87
"k ö e n n",87
"m u e h n",87
"o t t e _",87
"r d o n _",87
"r e s s i",87
"r u c k _",87
"t e l l t",87
"ü e s s _",87
"z i m m e",87
"_ a r m e",86
"_ f a m i",86
"_ m a r k",86
"_ n a m e",86
"_ p e r s",86
"_ s u e c",86
"_ v o i l",86
"a n g e n",86
"a r i g _",86
"c h o n _",86
"d a n k e",86
"e i f e l",86
"i c k e r",86
"l u c i e",86
"l u n g _",86
"r a n k _",86
"u c i e _",86
"_ d i m _",85
"_ o u i _",85
"_ p a r d",85
"_ u r s c",85
"e r l o r",85
"r o t h e",85
"r r u c k",85
"s c h r e",85
"t i e r e",85
"v e r r u",85
"_ b l u e",84
"_ l ü e j",84
"_ p a r i",84
"_ s e h r",84
"a u p t _",84
"h ü s s _",84
"k r i e j",84
"l e i c h",84
"n u r r _",84
"s s i o n",84
"u m m s c",84
"u s c h t",84
"_ e n f i",83
"_ l i c h",83
"_ m i l l",83
"_ m ü e n",83
"_ s t u n",83
"_ z a m m",83
"a l l e m",83
"b r e n n",83
"c h t e l",83
"e n f i n",83
"e n u m m",83
"e r f a h",83
"f a n g e",83
"g e n u m",83
"g s c h e",83
"i e n t _",83
"n a m m e",83
"n d e r i",83
"n f i n _",83
"r o s s _",83
"r r s c h",83
"s e h r _",83
"s o t t _",83
"ü c h e _",83
"u n g l ü",83
"v a d d e",83
"_ c h r i",82
"_ e w e _",82
"_ f a n g",82
"_ h u n d",82
"' s i n _",82
"a c h s c",82
"b r a v o",82
"b r i e f",82
"c h l e c",82
"e e r t _",82
"e m e s _",82
"f r i n d",82
"l i e b e",82
"l i e r e",82
"n i s c h",82
"r f a h r",82
"r s c h a",82
"t a n t e",82
"u r r e _",82
"v o l l _",82
"z a m m e",82
"_ b u r j",81
"_ d i e u",81
"_ e i n s",81
"_ g r e t",81
"_ l a n d",81
"_ s o h n",81
"a a c h t",81
"ä c h t _",81
"a l t i _",81
"b i t t e",81
"e r r u c",81
"e s s e s",81
"e t i s s",81
"g e r e d",81
"h e r z e",81
"h r i e w",81
"h y t t _",81
"i e h s c",81
"i g e n _",81
"i n n i _",81
"l a n g e",81
"m e r i k",81
"p a r i s",81
"p e t i s",81
"r a v o _",81
"s c h i n",81
"t i s s _",81
"_ a l i c",80
"_ d e n e",80
"_ e r e c",80
"_ f ü n f",80
"_ g ' h e",80
"_ g f a l",80
"_ h e i ß",80
"’ s i n _",80
"a l i c e",80
"b e t t _",80
"b r o c h",80
"h a m p e",80
"h r e m _",80
"l a u w e",80
"l e i n e",80
"l e w e _",80
"l l e m _",80
"m e i s c",80
"m m e n _",80
"o m m e n",80
"r o t h _",80
"s i e h s",80
"s i e h t",80
"s i t z e",80
"w a j e _",80
"_ b s c h",79
"_ f e r _",79
"_ g ä n n",79
"_ k r e i",79
"_ t h ä t",79
"_ w o r u",79
"a m p e t",79
"a n s c h",79
"a r i s _",79
"b i t t _",79
"d i n g s",79
"e i n s c",79
"f e r t i",79
"i h r e m",79
"l o r e _",79
"m p e t i",79
"m ü e n _",79
"n n t e _",79
"s i s c h",79
"t e l l _",79
"w o r u m",79
"_ n a s _",78
"a u c h _",78
"c h ö n e",78
"c h t i _",78
"d e i f e",78
"d i s c h",78
"e r e n _",78
"e r h a u",78
"g l a u w",78
"g s c h w",78
"i n g s _",78
"m a r k _",78
"m i l l i",78
"s c h l u",78
"s i n e r",78
"s t a d t",78
"ü s s e _",78
"w i e l _",78
"_ f e h l",77
"_ f e r t",77
"_ f ü e r",77
"_ m ü l l",77
"_ s a a s",77
"a f f e _",77
"c h t e n",77
"d i e n e",77
"e b r o c",77
"h o s s e",77
"j e s s e",77
"k l e i d",77
"n t s c h",77
"v e r z e",77
"_ a r m _",76
"_ e i m _",76
"_ f r e i",76
"_ f r i n",76
"_ p a s s",76
"_ p a u l",76
"_ w i r d",76
"e e r e _",76
"e i n i _",76
"i e n s c",76
"m a r i e",76
"m i t n a",76
"s a c h s",76
"t e n s _",76
"_ a c h t",75
"_ d ‘ r _",75
"_ p a r t",75
"a t r o n",75
"b i c k e",75
"c h i e n",75
"c h w e r",75
"e w w e _",75
"i s s i o",75
"j u n g _",75
"k e i n e",75
"m e i n s",75
"m ü e ß _",75
"n d e l _",75
"n d e n _",75
"n u r r e",75
"p a t r o",75
"s t i m m",75
"u s i n _",75
"w i r d _",75
"z y t t _",75
"_ e b b e",74
"_ e h r e",74
"_ l y t t",74
"_ m a a n",74
"_ n ä c h",74
"_ s t a r",74
"_ v o r s",74
"_ w e r u",74
"a r i e _",74
"i f e l _",74
"i t n a n",74
"l e c h t",74
"n i e m e",74
"o r s c h",74
"p a r d o",74
"r ü w e l",74
"s a a s c",74
"s ä h n _",74
"s e t z e",74
"t r ü w e",74
"u e t i _",74
"w e r u m",74
