mesure,BasRhinClés,BasRhinPreferredNgram,BasRhinAvoidedNgram
Craig,ALP,e l b; a l b; e l p; u l b; o l b; ü l b; a l p; u l p; i l b,o l p; ö l p
Craig,VP,w o b; w y b; w e b; v e b; w a b; w e p; w u p; v a p,w i b; w a p; w ä b
Craig,NXT,n s d,n s t
Craig,APP,o p b,a b p
Craig,SST,z s t,ß s t
Craig,AKL,i g l; i k l; e k l; ä g l; ü k l; u k l; o c l; è g l; ü g l,ö g l; a g l; e g l; e c l; a k l; u g l; à g l; è c l; é c l; o k l; o g l
Craig,ATR,e t r; e d r; o d r; u t r; î t r; o t r; è t r; ê t r,a t r; i t r; a d r; i d r; ü t r; ä t r; é t r; ô t r; u d r
Craig,ARK,e r c; u r c; a r c; o r c; ü r g; o r k; a r k; ü r c; ö r c; i r k; ä r k; u r q; ö r k; ä r c; e r q,o r g; e r g; a r g; ö r g; u r g; e r k; ä r g; i r c; à r g; i r q; a r q; ü r k; i r g; u r k
Craig,ARF,ü r f; a r f; ö r f; æ r f; u r v; y r f; o r v,e r v; e r f; ä r f; o r f; i r f; a r v; u r f
Craig,HF,h a w; h ä f; h a f; h o f; h o w; h a v; h ä w; h i w; h â v; h y w; h ü w,h à f; h e f; h e w; h i f; h e v; h ö f; h u f; h ü f
Craig,ARN,i r n,e r n; a r n; o r n; u r n; ä r n; ü r n; ö r n; y r n
Craig,ARTS,u r z; ü r z; æ r z,a r z; o r z; e r z; ä r z; i r z; à r z
Craig,PTS,p e z; b e z; b z e; p i z; p o z; p z i; p t s; p y z; b u z; b t s; p a z; b z a; p t z,b z i; b i z; b z u; b a z; b z o
Craig,ANTS,a n z; ä n z; i n z; ö n z; e n z; u n z; y n z; æ n z; o n z,à n z; ü n z
Craig,YY,j g i; j j e; j g e,j g a
Craig,TY,d j e; t j e; d j é; h t j; t j o; d j u; t j u; t j ü; d j i; d d j; t j ä; t t j; d j a,t j a; d j ö; d j o
Craig,PXP,b s b; b s p,p s b
Craig,TSV,z w a; _ z w; t s w; z w e; z w ä; z i w; z w y; z a w; z e v; z e w; z u w; t s v; z u v; z o w; - z w; z w ü; d s v; z ü v,z w i; z w ö; z w à; t z w; d s w; z w o; z w u
Craig,RST,r z d,r z t
Craig,FN,v u n; v o n; f ü n; f u n; f n a; f y n; f f n; v a n; f ä n; f ı n; f n e; f ' n; f o n; f ’ n; f ö n; v è n; v e n,f a n; f i n; v i n; f e n; f n à; f n ü; f n i; f ù n; f n o; f à n; f n ä; f n u
Craig,NS,n s e; n s i; n n s; n ü s; n u ß; n e s; n z _; n s a; n e z; n ü ß; n s o; n u s; n i s; n a z; n u z; n a s; n i ß; n ü z; n ä s; n i z; n s -; n s ü; n ‘ s; n ' s; n è s; n s ä; n s s; n - z; n ¨ s; n a ß; n n z; n s ‘; n s é; n z -; n z '; n z ’,n s _; n s '; h n s; n o s; n ’ s; n o z; n s u; n - s; n s ’; h n z
Craig,SXP,s ß b,z s p
Craig,ASP,o ß b; u ß b; a ß b; e ß b; ä z b; ü ß b,i z b
Craig,KV,g e w; q u e; _ q u; c h w; k w ü; q u i; q u o; q u é; q u '; k a v; q u ’; c a v; g i v; g w ä; k u v; g v e; g ü w; - q u; c e v; c o w; c w e; c w i; g ’ v; g e v; g g w; g i w; g ü v; g w y; k a w; k e v; k i w; k v i; k w ä; k w e,g ' w; _ g w; g w i; g w a; q u ä; g w o; g ’ w; q u a; k w a; k w o; g v o; c i v; c k w; c u v; g w u; k w i; g w ö; - k w; g à w; c e w; k e w; g ä w; g a w; g w e; k w u
Craig,HN,h u n; h e n; h a n; h ä n; h o n; h y n; h ü n; h æ n; h é n,h à n; h i n; h ö n
Craig,LSF,l s f; l s v,l z f
Craig,MP,m p e; m b e; m b a; m p a; m b i; m o b; m e b; m b _; m p ö; m e p; m b ä; m b ü; m b b; m i b; m ö p; m p u; m ö b; m a b,m p i; m p _; m o p; m b o; m - b; h m b; m m b; m p é; m a p; m b u; m p o; m b é
Craig,TSM,z a m; z e m; t z m; t s m; d s m; z ü m; z o m,z i m; z u m; z à m
Craig,PFR,b f r,p f r
Craig,AKT,a k t; e k t; o k t; i k t; u k t; i c t; o c t; ä g t; i k d; ä g d; i g d; ü k t; ö g t; ö k t; ü c t; u k d; u c t; ü g t,e g t; o g t; a g d; i g t; e c t; a g t; a c t; à g d; à g t; à c t; u g t
Craig,AVR,e w r; a v r; ü w r; o w r; u v r; â v r; e v r,a w r; i v r; è v r; i w r; ö v r; é v r; o v r
Craig,AMS,a m s; i m s; u m z; ä m s; o m s; y m s; e m s,u m s; à m s; i m z; ü m s
Craig,RR,r e r; r i r; r a r; r è r; r ü r; r ' r; r ’ r; r é r,r o r; r ä r; r u r; r r r; r - r
Craig,FS,f e s; f f s; f f z; f a s; f i z; v e z; v e s; f e z; f ä s; f a ß; v o s; v s _; f s e; v a s; f u ß; f s i; f o s; f s s; f s u; _ f s; f ' s; f ‘ s; f i ß; f ü ß; f z _; f z ’; v a z; v o z; v u s; f u s; f s o,f s _; f z '; f i s; v i s; f à s; f s ä; f s ü; f s a; f ’ s; _ v z; f ü s; v i z; v ö s
Craig,RKL,r k l,r g l; r c l
Craig,RFT,r f t,r v t
Craig,AKM,i g m; a g m,à g m; u g m
